"기준_년_코드","기준_분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","상권_변화_지표","상권_변화_지표_명","운영_영업_개월_평균","폐업_영업_개월_평균","서울_운영_영업_개월_평균","서울_폐업_영업_개월_평균"
"2021","3","D","발달상권","1001204","서울 중구 을지로3가역_1","HH","정체","163","64","117","55"
"2021","3","D","발달상권","1001203","명동거리","HH","정체","171","56","117","55"
"2021","3","D","발달상권","1001202","롯데백화점","HH","정체","148","73","117","55"
"2021","3","D","발달상권","1001201","서울 중구 신당역_1","HH","정체","125","58","117","55"
"2021","3","D","발달상권","1001200","북창동","HH","정체","165","67","117","55"
"2021","3","D","발달상권","1001199","서울 중구 충무로역_2","HH","정체","175","62","117","55"
"2021","3","D","발달상권","1001198","서울 강서구 송정역","HH","정체","131","57","117","55"
"2021","3","D","발달상권","1001197","장한평역_2","HH","정체","152","61","117","55"
"2021","3","D","발달상권","1001196","시청역_1","HH","정체","155","74","117","55"
"2021","3","D","발달상권","1001195","왕십리역_2","LH","상권확장","111","57","117","55"
"2021","3","D","발달상권","1001194","서울 강서구 발산역","LL","다이나믹","90","48","117","55"
"2021","3","D","발달상권","1001193","장한평역_1","HL","상권축소","127","53","117","55"
"2021","3","D","발달상권","1001192","서울 중구 충무로역_1","HH","정체","130","63","117","55"
"2021","3","D","발달상권","1001191","왕십리역_1","LH","상권확장","115","71","117","55"
"2021","3","D","발달상권","1001190","장한평역","HH","정체","151","61","117","55"
"2021","3","D","발달상권","1001189","서울 중구 명동역","HL","상권축소","138","54","117","55"
"2021","3","D","발달상권","1001188","장충동 족발거리","HH","정체","137","72","117","55"
"2021","3","D","발달상권","1001187","한양시장","LH","상권확장","96","56","117","55"
"2021","3","D","발달상권","1001186","서울 서대문구 이대역","HL","상권축소","123","49","117","55"
"2021","3","D","발달상권","1001185","서울 서대문구 신촌역","HL","상권축소","127","54","117","55"
"2021","3","D","발달상권","1001184","서울 마포구 홍대입구역_3","LL","다이나믹","96","51","117","55"
"2021","3","D","발달상권","1001183","서울 마포구 홍대입구역_2","LL","다이나믹","102","55","117","55"
"2021","3","D","발달상권","1001182","홍익대학교 주변","LL","다이나믹","86","47","117","55"
"2021","3","D","발달상권","1001181","서울 광진구 군자역","LL","다이나믹","111","55","117","55"
"2021","3","D","발달상권","1001180","신촌역","HH","정체","132","59","117","55"
"2021","3","D","발달상권","1001179","강서구청","LL","다이나믹","99","47","117","55"
"2021","3","D","발달상권","1001178","서울 마포구 홍대입구역_1","LL","다이나믹","107","49","117","55"
"2021","3","D","발달상권","1001177","서울 중구 약수역_2","HL","상권축소","129","54","117","55"
