상권_코드,공시지가,아파트_단지_수,아파트_가격_2억_미만_세대_수,아파트_가격_2~4억_세대_수,아파트_가격_5억_이상_세대수,아파트_평균_시가,아파트_평균_면적,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,슈퍼마켓_수,극장_수,숙박_시설_수,지하철_역_수,버스_정거장_수
1000217,3376772.0826850412,317.0,3889.0,14604.0,128.0,230650196.97791797,63.25,30.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
1000218,2799963.8562705494,395.0,2310.0,8190.0,1153.0,186640652.48101267,51.75,21.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
1000219,3051641.8696325496,639.0,2511.0,7327.0,625.0,151486319.52112675,46.0,17.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1000220,3051641.8696325496,398.0,3207.0,3142.0,636.0,162738560.14321607,47.5,68.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,8.0
1000221,3051641.8696325496,994.0,4821.0,5252.0,121.0,143722047.90744466,44.0,68.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,4.0
1000222,2688680.4913848117,1092.0,10421.0,2695.0,0.0,145973486.43406594,50.5,98.0,0.0,4.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,16.0
1000223,2688680.4913848117,1110.0,11405.0,3223.0,0.0,155663387.22162163,49.0,56.0,5.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,12.0
1000224,2688680.4913848117,1388.0,14460.0,1370.0,0.0,144192631.78458214,47.0,36.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0
1000225,2743795.625,448.0,5981.0,9419.0,487.0,185398070.625,55.0,15.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0
1000226,2743795.625,1263.0,11018.0,8376.0,262.0,149006574.19239905,52.0,90.0,4.0,0.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
1000227,2688680.4913848117,454.0,3594.0,6799.0,0.0,177178802.2290749,53.0,22.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1000228,2688680.4913848117,1214.0,11042.0,2734.0,0.0,142288475.05601317,49.75,48.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0
1000229,2688680.4913848117,766.0,11466.0,3780.0,0.0,150370312.77284595,53.75,61.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1000230,3188658.1238361266,1227.0,14203.0,8206.0,0.0,142395799.66748166,45.5,64.0,1.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,14.0
1000231,2585123.653525819,838.0,8009.0,8487.0,0.0,156667448.42959428,51.75,78.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,13.0
1000232,2585123.653525819,1038.0,9722.0,10151.0,0.0,156918393.7052023,53.0,58.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
1000233,2585123.653525819,1006.0,9729.0,2555.0,0.0,149142222.00596422,49.75,62.0,1.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,12.0
1000234,2585123.653525819,612.0,5449.0,2596.0,0.0,158514270.8480392,49.75,28.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
1000235,2585123.653525819,993.0,10164.0,2753.0,0.0,149439607.2779456,53.0,37.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0
1000236,2743795.625,703.0,7696.0,2038.0,20.0,150390961.6756757,48.0,22.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1000237,2743795.625,1505.0,14383.0,7724.0,181.0,154147086.58538207,51.0,166.0,4.0,4.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,24.0
1000238,2743795.625,764.0,7841.0,5063.0,133.0,156512881.77748692,48.25,45.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
1000239,2377501.54174184,689.0,6192.0,1839.0,0.0,136891742.88534108,54.5,61.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
